Country,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Inflation, consumer prices (annual %)","Foreign direct investment, net inflows (% of GDP)",Trade (% of GDP),Gini index,"Population, total",Population growth (annual %),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Literacy rate, adult total (% of people ages 15 and above)","School enrollment, primary (% gross)",Urban population (% of total population),Access to electricity (% of population),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Renewable energy consumption (% of total final energy consumption),Forest area (% of land area),Control of Corruption: Percentile Rank,Political Stability and Absence of Violence/Terrorism: Estimate,Regulatory Quality: Estimate,Rule of Law: Estimate,Voice and Accountability: Estimate,Individuals using the Internet (% of population),Research and development expenditure (% of GDP),High-technology exports (% of manufactured exports)
Pakistan,2000,99484802345,4.260088011,644.457157,0.597,4.366664513,0.309595026,21.45996933,,154369924,3.075552912,..,62.102,84.8,..,63.47122955,32.982,72.8,87.36402076,30.9057923,0.710499799,59.16341563,51,5.852091117,22.87234116,-1.104804635,-0.766920447,-1.000389218,-1.220253587,..,0.115659997,..
Pakistan,2001,97145618480,3.651350171,610.1432316,0.595,3.148261446,0.389106586,23.57720884,28.7,159217727,3.092079184,33.3,62.421,82.9,..,63.47180939,33.18,73.9,87.60278309,32.80766837,0.705394444,59.26193463,51.5,5.797928342,..,..,..,..,..,1.31855,0.151649997,..
Pakistan,2002,97923302809,2.594816684,599.7894108,0.597,3.290344726,0.8435173,23.1290206,,163262807,2.50885976,..,62.626,81.1,..,63.84201813,33.38,74.9,87.83853927,34.70445497,0.691158642,59.34946089,51.4,5.743765567,20.1058197,-1.637678623,-0.877513707,-0.931637406,-1.109006166,2.57743,0.198870003,..
Pakistan,2003,1.12372E+11,5.401310873,673.382966,0.595,2.914134701,0.475207712,24.65016612,,166876680,2.189388121,..,62.843,79.5,..,65.76925659,33.58,76,88.07328112,36.59515911,0.699751457,59.36998418,50.1,5.689602792,24.33862495,-1.54904592,-0.827369988,-0.920624614,-1.170764208,5.04116,..,..
Pakistan,2004,1.32216E+11,7.83125557,774.7853357,0.588,7.444624693,0.845585702,24.80834087,30.9,170648620,2.235149207,20.2,63.052,78.1,..,69.64685822,33.781,77,88.30713702,38.48021693,0.764313828,59.26749427,47.9,5.635440017,10.83743858,-1.582877994,-1.049112082,-0.994449377,-1.142131209,6.16432,..,..
Pakistan,2005,1.45209E+11,7.276574436,832.7511375,0.582,9.06332737,1.515750831,29.878498,31.3,174372098,2.158492155,20.3,62.466,76.8,50,73.18280792,33.982,78.1,87.99057987,40.35915769,0.761454393,58.98598095,48,5.581277242,14.63414669,-1.751388311,-0.641119778,-0.890321434,-0.976286173,6.33233,0.398490012,..
Pakistan,2006,1.61871E+11,6.051637676,909.0324033,0.582,7.921084401,2.639750062,33.04971214,,178069984,2.098513142,..,63.731,75.5,54,69.86380768,34.184,79.1,88.14406172,42.2129055,0.807902021,57.44540129,47,5.527114467,22.43902397,-2.024678469,-0.479762465,-0.857247531,-0.886475444,6.5,..,..
Pakistan,2007,1.84141E+11,4.44481434,1012.182794,0.398,7.598684411,3.035719338,30.78788045,29.7,181924521,2.141523972,14.9,63.852,74.3,52,74.22019958,34.387,80.2,88.31188748,44.05647274,0.878248843,54.33527038,44.9,5.472951692,21.84465981,-2.432705164,-0.537263751,-0.887544632,-0.949874163,6.8,0.632499993,..
Pakistan,2008,2.02204E+11,2.120441043,1087.514777,0.423,20.28612109,2.689366561,34.34896042,,185931955,2.178889217,..,64.036,73,56,73.91271973,34.59,81.4,88.47793129,45.88948541,0.834113749,50.75391506,46.6,5.418788917,19.41747665,-2.573009491,-0.599021852,-0.972613692,-0.838403463,7,..,1.924735013
Pakistan,2009,1.87338E+11,3.472550596,985.3493008,0.535,13.64776506,1.248013055,33.32688559,,190123222,2.229162535,..,64.14,71.6,55,74.17310333,34.793,82.5,88.64219188,47.71199679,0.831399228,47.79966219,46.4,5.364626142,13.87559795,-2.64452672,-0.584045112,-0.838977218,-0.855763972,7.5,0.448060006,1.767061445
Pakistan,2010,1.9671E+11,1.501717522,1011.59718,0.653,12.93887056,1.027911081,31.98899821,28.8,194454498,2.252579345,9.4,64.436,70.2,55,74.51810256,34.997,87.1,88.80475285,49.52440583,0.782293038,46.5708386,47.4,5.310463367,13.80952358,-2.675933123,-0.613358259,-0.737805545,-0.798651278,8,..,1.728023576
Pakistan,2011,2.30587E+11,2.680116854,1161.044321,0.796,11.91609271,0.575055146,32.36263828,29.7,198602738,2.110834578,9.6,64.648,68.7,55,71.02598842,35.202,87.8,88.96560218,51.32672381,0.77423555,55.75497917,46.8,5.268659195,15.16587639,-2.810035467,-0.647816777,-0.906628191,-0.829199433,8,0.329169989,1.814500958
Pakistan,2012,2.50107E+11,3.027583911,1236.892763,3.667,9.682351861,0.343453049,31.31897077,,202205861,1.79797543,..,64.782,67.1,57,70.78525465,35.408,88.6,89.12473117,53.1189631,0.766129128,66.87195407,47.2,5.226855023,14.21800995,-2.677003622,-0.722233474,-0.883420169,-0.843582153,8.1,..,1.725256901
Pakistan,2013,2.58657E+11,4.36686505,1259.668368,2.954,7.692156119,0.515353849,30.89027502,29.5,205337562,1.536897649,7.4,65.15,65.5,56,70.24364089,35.613,89.3,89.28197133,54.90051097,0.762642249,68.58132487,48.1,5.185050851,17.06161118,-2.603302002,-0.70500499,-0.855993092,-0.799480617,9,0.292849988,1.924888894
Pakistan,2014,2.7139E+11,4.116428172,1303.18537,1.827,7.189384028,0.695308117,29.46982583,,208251628,1.409182973,..,65.284,63.8,57,74.31890185,35.819,90.1,89.43748479,56.67205633,0.792486962,71.7121701,47.2,5.143246679,23.07692337,-2.401279211,-0.688540936,-0.750930011,-0.716015041,10,..,1.448112847
Pakistan,2015,2.99964E+11,4.217942096,1421.835278,3.566,2.529328173,0.557734356,26.6881846,31.3,210969298,1.296551724,5.1,65.697,62.2,..,74.84799088,36.026,91,89.59124695,58.43360674,0.826848748,68.00687676,45.9,5.101442507,22.38095284,-2.471883535,-0.645115256,-0.776916742,-0.722057998,11,0.24605,1.60383334
Pakistan,2016,3.1363E+11,6.573838285,1468.822082,2.286,3.765119164,0.821349998,24.70157951,,213524840,1.204055673,..,65.88,60.5,..,79.8399702,36.234,91.8,89.74324599,60.18517155,0.904955133,68.52282972,43.7,5.017953508,17.61904716,-2.473873854,-0.662416399,-0.815582871,-0.699399233,12.3854,..,1.957391558
Pakistan,2017,3.39206E+11,4.432625907,1567.640612,3.193,4.08537368,0.73583705,25.47203641,,216379655,1.328135434,..,66.297,58.9,59,78.84305835,36.442,92.7,89.89341028,61.92650683,0.971850611,61.79672747,42.1,4.99418846,21.90476227,-2.396910429,-0.61267668,-0.733362675,-0.693399549,13.78,0.212139994,2.176368769
Pakistan,2018,3.56128E+11,6.151702611,1620.742591,4.083,5.078057259,0.487745751,27.62605637,29.6,219731479,1.537172403,4.9,66.482,57.3,57,82.03330642,36.666,93.4,90.04259791,63.66154836,0.903148247,62.38949764,43.4,4.940561436,24.2857151,-2.253884554,-0.667998254,-0.68372798,-0.813987374,15.34,..,2.169752837
Pakistan,2019,3.20909E+11,2.497636929,1437.165833,4.83,10.5783618,0.69614648,28.9055758,,223293280,1.607981347,..,66.756,55.7,58,83.18457523,36.907,93.9,90.19065035,65.38993557,0.875344301,52.8571977,45.9,4.886934413,20.95238113,-2.251637459,-0.687235057,-0.688234627,-0.862723053,17.0709,0.17475,2.302693297
Pakistan,2020,3.00426E+11,-1.274087443,1322.314785,6.162,9.739993139,0.68469529,26.71628046,,227196741,1.73302782,..,66.269,54.1,..,..,37.165,94.5,90.33733695,67.11104079,0.85371295,42.99817342,42.7,4.833307389,21.90476227,-1.792646289,-0.764765918,-0.712482035,-0.877666116,18.9348,..,1.887812496
Pakistan,2021,3.48517E+11,6.513885759,1506.108293,6.338,9.496210561,0.616039439,27.03042156,,231402117,1.834062082,..,66.098,52.5,..,84.36845972,37.44,94.9,90.48246306,68.82426834,0.933715745,..,41.6,4.779680365,23.33333397,-1.713656187,-0.761585534,-0.658457339,-0.841158211,24.9775,0.164430007,1.488483293
Pakistan,2022,3.74788E+11,4.767539531,1589.26398,5.548,19.87385996,0.390087239,33.04037277,,235824862,1.893245598,..,66.431,51,..,82.67900632,37.731,95,90.62575385,70.52881326,0.845245486,..,..,..,22.64151001,-1.900261998,-0.886412621,-0.672492206,-0.862237751,32.9486,..,1.431317349
Pakistan,2023,3.38368E+11,-0.004855269,1407.021351,5.499,30.76812807,0.537284127,28.10207676,,240485658,1.957103432,..,..,..,..,..,38.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
